word,phonetic,tier,frequency,definition_en,definition_zh,definition_zh_tw,definition_ja
aback,ә'bæk,4,12786,r. having the wind against the forward side of the sails; r. by surprise,"adv. 向后, 朝后, 突然, 船顶风地","adv. 向後, 朝後, 突然, 船頂風地","後へ,後ろに"
abandon,ә'bændәn,2,2182,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry; v. forsake, leave behind; v. give up with the intent of never claiming again; v. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵; n. 放任, 无拘束, 狂热","vt. 放棄, 拋棄, 遺棄, 使屈從, 沉溺, 放縱; n. 放任, 無拘束, 狂熱","…を捨てる,断念する / (詩的・文学的)奔放さ,自由奔放"
abase,ә'beis,5,41704,v cause to feel shame; hurt the pride of,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑","vt. 降低...的地位, 降低...的品格, 貶抑, 使謙卑","〈品位・地位など〉を落とす,下げる;〈自分〉を卑しめる"
abash,ә'bæʃ,5,41079,v cause to be embarrassed; cause to feel self-conscious,"vt. 使不安, 使羞愧, 使困窘","vt. 使不安, 使羞愧, 使困窘","《通例受動態で用いて》…を恥じ入らせる;…をまごつかせる,面くらわせる"
abashed,ә'bæʃd,4,28626,s. feeling or caused to feel uneasy and self-conscious,"a. 不安的, 窘迫的","a. 不安的, 窘迫的",
abate,ә'beit,4,13243,v. become less in amount or intensity,"vt. 减少, 减轻, 减弱, 废除, 打折扣; vi. 减轻, 减弱, 减少, 失效, 被废除","vt. 減少, 減輕, 減弱, 廢除, 打折扣; vi. 減輕, 減弱, 減少, 失效, 被廢除","…の勢いを減らす,軽減する / (法律で)〈妨害など〉を排除する;〈効力など〉を停止する / 減る,やわらぐ,弱まる"
abbey,'æbi,4,17783,n. a church associated with a monastery or convent; n. a convent ruled by an abbess; n. a monastery ruled by an abbot,n. 大修道院,n. 大修道院,"〈C〉大修道院 / 《集合的に》(一院全体の)僧,尼僧 / 〈C〉(大修道院の一部であった)大寺院;《the A-》ウエストミンスター寺院(Westminster Abbey)"
abdicate,'æbdikeit,4,19114,"v. give up, such as power, as of monarchs and emperors, or duties and obligations","vt. 正式放弃; vi. 退位, 退出, 辞职","vt. 正式放棄; vi. 退位, 退出, 辭職","〈地位・権利など〉を捨てる,から退く / 〈王が〉(…から)退位する《+『from』+『名』》"
abdomen,'æbdәmen,4,9711,n. the region of the body of a vertebrate between the thorax and the pelvis,n. 腹部; [医] 腹[部],n. 腹部; [醫] 腹[部],"腹部,腹;(昆虫の)腹部"
abduct,æb'dʌkt,4,11439,v. pull away from the body,"vt. 诱拐, 绑架, 使外展; [医] 外展, 展","vt. 誘拐, 綁架, 使外展; [醫] 外展, 展",…を誘拐する
aberrant,æ'berәnt,5,21296,n. one whose behavior departs substantially from the norm of a group; s. markedly different from an accepted norm,"a. 偏离正路的, 偏离常轨的, 畸变的; [化] 异常的","a. 偏離正路的, 偏離常軌的, 畸變的; [化] 異常的","正道からはずれた,常軌を逸した;異常な"
abet,ә'bet,5,15345,"v. assist or encourage, usually in some wrongdoing","vt. 教唆, 煽动, 怂恿, 帮助, 支持","vt. 教唆, 煽動, 慫恿, 幫助, 支援","(特に悪い事に)…を扇動する,そそのかす《+『名』+『in』+『名』(do『ing』)》"
abeyance,ә'beiәns,5,29581,n. temporary cessation or suspension,"n. 中止, 暂搁, 停止, 归属待定; [化] 潜态","n. 中止, 暫擱, 停止, 歸屬待定; [化] 潛態",一時的な中止(停止)
abhor,әb'hɒ:,4,16665,v. find repugnant,"vt. 憎恶, 痛恨, 回避, 拒绝","vt. 憎惡, 痛恨, 迴避, 拒絕","…をひどくきらう,嫌悪する"
abide,ә'baid,3,8457,v dwell; v put up with something or somebody unpleasant,"vi. 停留, 遵守, 居留, 继续下去; vt. 忍受, 经受, 屈从于","vi. 停留, 遵守, 居留, 繼續下去; vt. 忍受, 經受, 屈從於","(ある状態に)とどまる;残る / 住む / 《まれ》…をじっと待つ / 《否定文・疑問文で》…をがまんする,に耐える"
abiding,ә'baidiŋ,4,15604,s. unceasing,"a. 永久的, 持久的, 不变的","a. 永久的, 持久的, 不變的","永続的な,不変の"
ability,ә'biliti,1,783,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment; n. possession of the qualities (especially mental qualities) required to do something or get something done,"n. 能力, 才干; [经] 能力, 才能","n. 能力, 才幹; [經] 能力, 才能","〈U〉『能力』,力量 / 《複数形で》特殊な才能,優れた手腕"
abject,'æbdʒekt,4,16479,s. of the most contemptible kind; s. most unfortunate or miserable; s. showing utter resignation or hopelessness; s. showing humiliation or submissiveness,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的; [法] 卑鄙的, 卑下的, 可怜的","a. 絕望無助的, 可憐的, 糟透的, 卑鄙的, 自卑的; [法] 卑鄙的, 卑下的, 可憐的","(人・行為が)下劣な,あさましい / みじめな"
abjure,әb'dʒuә,5,30718,"v. formally reject or disavow a formerly held belief, usually under pressure","vt. 发誓断绝, 公开放弃; [法] 誓绝, 弃绝, 公开放弃","vt. 發誓斷絕, 公開放棄; [法] 誓絕, 棄絕, 公開放棄",〈国籍・信仰・権利など〉を宣誓して捨てる
ablaze,ә'bleiz,4,16903,s. keenly excited (especially sexually) or indicating excitement; s. lighted up by or as by fire or flame; s. resembling flame in brilliance or color; s. lighted with red light as if with flames,"a. 着火的, 闪亮的, 激昂的; adv. 着火, 闪耀","a. 著火的, 閃亮的, 激昂的; adv. 著火, 閃耀",燃えたって / (…で)明るく輝いて《+『with』+『名』》
able,'eibl,1,385,a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something; s. have the skills and qualifications to do things well; s. having inherent physical or mental ability or capacity; s. having a strong healthy body,"a. 能干的, 能够的","a. 能幹的, 能夠的","《補語にのみ用いて》《『be able to』 do》(…することが)『できる』 / 『有能な』,腕ききの,並々ならない"
ablution,ә'blu:ʃәn,4,31213,n. the ritual washing of a priest's hands or of sacred vessels,"n. 洗澡, 洗礼, 斋戒沐浴; [化] 洗净; 洗净液","n. 洗澡, 洗禮, 齋戒沐浴; [化] 洗淨; 洗淨液",《複数形で》(宗教上の儀式としての)沐浴(もくよく)
abnegate,'æbnigeit,5,0,v. surrender (power or a position); v. deny or renounce,"vt. 放弃, 舍弃, 克制(欲望)","vt. 放棄, 捨棄, 剋制(慾望)",〈権利など〉を放棄する
abnormal,æb'nɒ:mәl,2,8241,a. not normal; not typical or usual or regular or conforming to a norm; a. departing from the normal in e.g. intelligence and development; s. much greater than the normal,"a. 反常的, 不规则的, 变态的, 畸形的; n. 畸形的人","a. 反常的, 不規則的, 變態的, 畸形的; n. 畸形的人","『異常な』,普通でない,規準をはずれた"
aboard,ә'bɒ:d,2,4984,"r. on a ship, train, plane or other vehicle; r. on first or second or third base; r. side by side; r. part of a group","adv. 在船上, 在火车上, 在飞机上; prep. 在...之上","adv. 在船上, 在火車上, 在飛機上; prep. 在...之上",(船・航空機・列車などに)乗って / (船・航空機・列車など)の中へ(に)
abode,ә'bәud,4,19221,n any address at which you dwell more than temporarily; n housing that someone is living in; v dwell; v put up with something or somebody unpleasant,"n. 住所, 住处; abide的过去式和过去分词","n. 住所, 住處; abide的過去式和過去分詞","〈C〉住所,住居 / 〈U〉滞在,居住 / abideの過去・過去分詞"
abolish,ә'bɒliʃ,2,7490,v. do away with,"vt. 废止, 革除, 消灭; [经] 废除, 取消, 裁撤","vt. 廢止, 革除, 消滅; [經] 廢除, 取消, 裁撤","〈制度・習慣・規則など〉を廃止する,やめる"
abort,ә'bɒ:t,4,12402,"n. the act of terminating a project or procedure before it is completed; v. terminate before completion; v. cease development, die, and be aborted; v. terminate a pregnancy by undergoing an abortion","vi. 流产, 中途失败; vt. 使流产, 使失败, 使中止","vi. 流產, 中途失敗; vt. 使流產, 使失敗, 使中止","〈計画などを〉中止する,中断する,やめる,打ち切る / 流産する / 〈動植物や器官などが〉十分に発育しない / 〈計画が〉失敗する,中止となる / 〈胎児〉を流産させる"
aborted,ә'bɒ:tid,4,19690,"v terminate before completion; v cease development, die, and be aborted; v terminate a pregnancy by undergoing an abortion","a. 流产的, 中途失败的","a. 流產的, 中途失敗的",
abortion,ә'bɒ:ʃәn,2,1969,n. termination of pregnancy,"n. 流产, 堕胎, 失败, 夭折, 中止; [医] 流产, 小产; 顿挫","n. 流產, 墮胎, 失敗, 夭折, 中止; [醫] 流產, 小產; 頓挫","〈U〉〈C〉流産;妊娠中絶 / 〈U〉(計画などの)失敗;〈C〉(実現しなかった)案,計画"
abortive,ә'bɒ:tiv,4,22876,s. failing to accomplish an intended result,"a. 流产的, 堕胎的, 失败的; [医] 流产的; 顿挫的","a. 流產的, 墮胎的, 失敗的; [醫] 流產的; 頓挫的","不成功の,失敗に終わった / 流産の / 発育不全の"
abound,ә'baund,4,7676,v. be abundant or plentiful; exist in large quantities; v. be in a state of movement or action,"vi. 大量存在, 富于, 充满","vi. 大量存在, 富於, 充滿","〈人・動物などが〉『たくさんいる』,多い"
about,ә'baut,1,46,s. on the move; r. all around or on all sides; r. in the area or vicinity; r. used of movement to or among many different places or in no particular direction,"prep. 在...周围, 大约, 有关, 关于; adv. 大约, 四处, 在附近, 周围","prep. 在...周圍, 大約, 有關, 關於; adv. 大約, 四處, 在附近, 周圍","…について,に関して / 《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) / 《おもに英》(また,おもに《米》『around』)…『のあちこちに(で,を)』,に点々と / 《おもに英》(また,おもに《米》『around』)…のあたりに(を),の近くに(near) / …『の身の回りに』,を手もとに / …の身辺に,のどこかに / …に従事して,にかかわって / (また《話》『around』)《時を表す名詞を伴って》だいたい…ころ(に) / (また《米》『around』)『周囲に』 / 《おもに英》(また,おもに《米》『around』)『あちこちに』,点々と / 《おもに英》(また,おもに《米》『around』)あたりに / 《しばしば数詞と共に用いて》『およそ』,約 / (また,おもに《米》『around』)ぐるっと回って,反対の位置(方向)に / 順番に,交互に / 《be動詞の後で》(病気・うわさが)広まって;(人の病気がよくなり)元気に動き回って;(ショーなどが)行われて"
above,ә'bʌv,1,893,n. an earlier section of a written text; s. appearing earlier in the same text; r. at an earlier place; r. in or to a place that is higher,"prep. 在上方, 超出; adv. 在上面; a. 上述的, 上面的","prep. 在上方, 超出; adv. 在上面; a. 上述的, 上面的","《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ / 《場所・位置》…『の上に』,の上方に,さらに高いところに(の) / …『の上流に(で)』,の上手(かみて)に,の北方に,のもっと先(遠く)に / 《数・量・程度》…『以上に』,にまさって / 《be動詞と結びついて》…『の力の及ばない』,を越えて(beyond) / 『上方に(を)』;頭上に高く;上流に / 天に,空に / (特に地位において)高位に / (本・ページの)『前に』,前文に / 前述の,上述の / 前述(上述)のこと"
abrade,ә'breid,5,28660,v. wear away,"vt. 擦伤, 磨损, 磨; [医] 擦除, 擦破; 磨损, 磨除","vt. 擦傷, 磨損, 磨; [醫] 擦除, 擦破; 磨損, 磨除",〈皮膚〉を擦傷する;〈毛・岩など〉をすり減らす
abrasion,ә'breiʒәn,4,18254,n. an abraded area where the skin is torn or worn off; n. erosion by friction,"n. 磨擦, 磨损, 磨损处; [化] 磨耗; 磨蚀","n. 磨擦, 磨損, 磨損處; [化] 磨耗; 磨蝕","〈C〉すり傷 / 〈U〉すりむくこと,摩滅"
abrasive,ә'breisiv,4,16344,n. a substance that abrades or wears down; s. causing abrasion,n. 研磨料; a. 有研磨作用的,n. 研磨料; a. 有研磨作用的,"すり減らす,すりむく / 研磨剤(金剛砂・軽石など)"
abreast,ә'brest,5,16406,"s. being up to particular standard or level especially in being up to date in knowledge; r. alongside each other, facing in the same direction","adv. 并肩地, 并列地","adv. 並肩地, 並列地","並んで,並行して"
abridge,ә'bridʒ,4,26746,"v. reduce in scope while retaining essential elements; v. lessen, diminish, or curtail","vt. 缩短, 删节, 减少, 剥夺; [法] 剥夺; 节略","vt. 縮短, 刪節, 減少, 剝奪; [法] 剝奪; 節略",〈本・話など〉を要約する;〈会合・授業など〉を短縮する / 〈権利・活動範囲など〉を制限する
abroad,ә'brɒ:d,1,3363,s. in a foreign country; r. to or in a foreign country,"adv. 往国外, 到室外, 到处; a. 往国外的, 在室外的, 广泛四散的","adv. 往國外, 到室外, 到處; a. 往國外的, 在室外的, 廣泛四散的","『海外へ(で)』,『外国に(で)』 / 《古》戸外へ / 『広く』;(うわさなどが)『広まって』"
